ID,TeamName,Played,Won,Draw,Lost,GF,GA,Goal Difference,Points,PPG,% Points,Year
1,Liverpool,38,32,3,3,85,33,+52,99,2.61,86.84,2019-2020
2,Manchester City,38,26,3,9,102,35,+67,81,2.13,71.05,2019-2020
3,Manchester United,38,18,12,8,66,36,+30,66,1.74,57.89,2019-2020
4,Chelsea,38,20,6,12,69,54,+15,66,1.74,57.89,2019-2020
5,Leicester City,38,18,8,12,67,41,+26,62,1.63,54.39,2019-2020
6,Tottenham Hotspur,38,16,11,11,61,47,+14,59,1.55,51.75,2019-2020
7,Wolverhampton Wanderers,38,15,14,9,51,40,+11,59,1.55,51.75,2019-2020
8,Arsenal,38,14,14,10,56,48,+8,56,1.47,49.12,2019-2020
9,Sheffield United,38,14,12,12,39,39,0,54,1.42,47.37,2019-2020
10,Burnley,38,15,9,14,43,50,-7,54,1.42,47.37,2019-2020
11,Southampton,38,15,7,16,51,60,-9,52,1.37,45.61,2019-2020
12,Everton,38,13,10,15,44,56,-12,49,1.29,42.98,2019-2020
13,Newcastle United,38,11,11,16,38,58,-20,44,1.16,38.60,2019-2020
14,Crystal Palace,38,11,10,17,31,50,-19,43,1.13,37.72,2019-2020
15,Brighton & Hove Albion,38,9,14,15,39,54,-15,41,1.08,35.96,2019-2020
16,West Ham United,38,10,9,19,49,62,-13,39,1.03,34.21,2019-2020
17,Aston Villa,38,9,8,21,41,67,-26,35,0.92,30.70,2019-2020
18,AFC Bournemouth,38,9,7,22,40,65,-25,34,0.89,29.82,2019-2020
19,Watford,38,8,10,20,36,64,-28,34,0.89,29.82,2019-2020
20,Norwich City,38,5,6,27,26,75,-49,21,0.55,18.42,2019-2020
1,Manchester City,38,27,5,6,83,32,+51,86,2.26,75.44,2020-2021
2,Manchester United,38,21,11,6,73,44,+29,74,1.95,64.91,2020-2021
3,Liverpool,38,20,9,9,68,42,+26,69,1.82,60.53,2020-2021
4,Chelsea,38,19,10,9,58,36,+22,67,1.76,58.77,2020-2021
5,Leicester City,38,20,6,12,68,50,+18,66,1.74,57.89,2020-2021
6,West Ham United,38,19,8,11,62,47,+15,65,1.71,57.02,2020-2021
7,Tottenham Hotspur,38,18,8,12,68,45,+23,62,1.63,54.39,2020-2021
8,Arsenal,38,18,7,13,55,39,+16,61,1.61,53.51,2020-2021
9,Leeds United,38,18,5,15,62,54,+8,59,1.55,51.75,2020-2021
10,Everton,38,17,8,13,47,48,-1,59,1.55,51.75,2020-2021
11,Aston Villa,38,16,7,15,55,46,+9,55,1.45,48.25,2020-2021
12,Newcastle United,38,12,9,17,46,62,-16,45,1.18,39.47,2020-2021
13,Wolverhampton Wanderers,38,12,9,17,36,52,-16,45,1.18,39.47,2020-2021
14,Crystal Palace,38,12,8,18,41,66,-25,44,1.16,38.60,2020-2021
15,Southampton,38,12,7,19,47,68,-21,43,1.13,37.72,2020-2021
16,Brighton & Hove Albion,38,9,14,15,40,46,-6,41,1.08,35.96,2020-2021
17,Burnley,38,10,9,19,33,55,-22,39,1.03,34.21,2020-2021
18,Fulham,38,5,13,20,27,53,-26,28,0.74,24.56,2020-2021
19,West Bromwich Albion,38,5,11,22,35,76,-41,26,0.68,22.81,2020-2021
20,Sheffield United,38,7,2,29,20,63,-43,23,0.61,20.18,2020-2021
1,Manchester City,38,29,6,3,99,26,+73,93,2.45,81.58,2021-2022
2,Liverpool,38,28,8,2,94,26,+68,92,2.42,80.70,2021-2022
3,Chelsea,38,21,11,6,76,33,+43,74,1.95,64.91,2021-2022
